id,DemAffl,DemAge,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime
968,6,60,27,D,F,South East,London,Gold,18026.67,25
969,7,41,28,D,U,South East,S & S East,Gold,5100.01,11
970,5,56,27,D,F,Midlands,East,Gold,6105.32,7
971,10,55,10,B,M,Scottish,C Scotland,Gold,6000,1
972,8,32,49,F,F,Midlands,East,Silver,30,2
973,13,50,1,A,F,Scottish,C Scotland,Gold,6000,3
974,7,78,NA,,F,Midlands,Ulster,Silver,1250,5
975,7,56,28,D,F,Midlands,Wales & West,Gold,6025,6
976,10,43,14,B,F,South East,S & S East,Gold,12000,21
977,6,44,25,C,F,South East,London,Tin,0.01,5
978,3,48,49,F,,Midlands,East,Tin,0.01,8
979,10,66,12,B,,South East,London,Platinum,20406.39,3
980,11,35,5,B,F,North,N East,Tin,0.01,8
981,11,49,44,E,M,South East,London,Tin,0.01,4
982,11,66,53,F,F,South East,London,Silver,1000,8
983,NA,42,27,D,M,Midlands,Wales & West,Silver,1500,5
984,10,53,25,C,F,South East,London,Silver,3900,2
985,9,56,14,B,U,South East,London,Silver,5000,4
986,8,56,27,D,F,South East,London,Silver,1500,11
987,12,73,52,F,F,Midlands,Midlands,Gold,6053.35,7
988,8,39,31,D,F,South East,London,Tin,0.01,5
989,12,53,6,B,U,South West,S West,Silver,1000,4
990,7,79,24,C,M,Scottish,Border,Gold,18500,12
991,9,NA,42,E,F,South East,London,Tin,0.01,4
992,19,47,34,D,M,Midlands,Midlands,Tin,0.01,8
993,7,77,10,B,U,South East,London,Gold,9500,4
994,9,34,50,F,F,Midlands,Wales & West,Tin,0.01,10
995,9,62,33,D,F,Midlands,Midlands,Silver,3000,8
996,9,73,NA,,M,Midlands,East,Gold,6053.35,14
997,8,46,37,E,F,South East,London,Tin,0.01,8
998,9,53,28,D,,North,N West,Gold,6053.35,6
999,NA,72,2,A,,South East,London,Silver,3000,8
1000,12,61,12,B,F,South East,London,Silver,1500,6
